Series_ID,Title,Summary,Publication_Date,Authors,PMIDs
GSE294364,antibiotics driven gut microbiome perturbation alters the immune response the rabies vaccine,the gut microbiome plays crucial role modulating human immunity previously found that antibioticinduced microbiome perturbation affected influenza vaccine responses depending preexisting immunity levels however its impact primary responses remains unclear here employed systems biology approach analyze the impact antibiotic administration primary and secondary immune responses the rabies vaccine humans antibiotic administration disrupted the microbiome reducing gut bacterial load and causing longlasting reduction commensal diversity this alteration was associated with reduced rabiesspecific humoral responses multiomics profiling revealed that antibiotic administration induced enhanced proinflammatory signature early after vaccination shift the balance vaccinespecific thelper 1th1 tfollicularhelper response towards th1 phenotype profound alterations metabolites particularly secondary bile acids blood integrating multiomics datasets generated multiscale multiresponse network that revealed key regulatory nodes including the microbiota secondary bile acids and humoral immunity vaccination,2025/06/01,24676,"[IntegerElement(40252648, attributes={})]"
GSE287057,gene knockout screen identify genes involved human neural stemprecursor cell proliferation,during cortical development neural stemprecursor cells nspcs sequentially produce neurons astrocytes and oligodendrocytes before producing these cells human nspcs selfrenew longerterm form larger cortex than other mammalians whereas the mechanisms are mostly unknown this study performed gene knockout screen using the crisprcas9 system identify genes having key role human nspc selfrenewal,2025/05/31,16791,"[IntegerElement(40377017, attributes={})]"
GSE284317,gene expression profile embryonic stem cellderived tslike cells single cell rnasequencing,human embryonic stem cells escs were differentiated into gata3expressing extraembryonic cells gata3 exe cells exposure chemical inhibitors targeting activinnodal a8301 1um and fgf signaling pd03714 100nm using these gata3expressing cells starting material established trophoblast stemlike cells tslcs following the established protocol for deriving trophoblast stem cells tscs from the villous trophoblast human firsttrimester placenta understand the transcriptional properties individual tslcs obtained the gene expression profile from single cells,2025/05/31,24676,"[IntegerElement(40447714, attributes={})]"
GSE284316,gene expression profile embryonic stem cellderived tslike cells rnasequencing,human embryonic stem cells escs were differentiated into gata3expressing extraembryonic cells gata3 exe cells exposure chemical inhibitors targeting activinnodal a8301 1um and fgf signaling pd03714 100nm using these gata3expressing cells starting material established trophoblast stemlike cells tslcs following the established protocol for deriving trophoblast stem cells tscs from the villous trophoblast human firsttrimester placenta characterize the resulting escderived tslcs rna sequencing was conducted allowing comparisons with the parental escs and previously published tscs,2025/05/31,18573,"[IntegerElement(40447714, attributes={})]"
GSE298577,transcriptional responses prevnar13 vaccination humans,thus dataset includes transcriptional profiling data the prevaccination baseline and day post vaccination,2025/05/30,13158,"[IntegerElement(39747435, attributes={})]"
GSE297016,distinct characteristics brain metastasis lung adenocarcinoma development highconfidence cell lines,lung cancer leading cause cancerrelated deaths worldwide with brain metastasis occurring approximately 3055 patients particularly lung adenocarcinoma due the challenges obtaining genuine brain metastasis tumor cells researchers commonly use nude mouse models establish brain metastasis cell lines though traditional methods have limitations such high costs lengthy timeframes and the need for specialized imaging equipment address these issues developed improved approach performing low cell number circulating intracranial injections 5004000 cells nude mice successfully establishing the h1975bm1 bm2 and bm3 cell lines through rna sequencing and bioinformatics analyses identified transcriptomic differences among these cell lines revealing that h1975bm1 cells primarily exhibit stem cell function and migration characteristics while h1975bm3 cells display enhanced chemotaxis cell adhesion and cytokine secretion associated with interactions experimental validation including transwell assays cck8 cell adhesion assays and subcutaneous tumor implantation nude mice further confirmed these findings with h1975bm3 forming larger tumors and more pronounced secretion cystic cavity conclusion our improved methodology successfully established highconfidence brain metastasis lung adenocarcinoma cell lines elucidating distinct transcriptomic and functional characteristics different stages brain metastasis progression,2025/05/30,29480,"[IntegerElement(40399969, attributes={})]"
GSE294965,spatiotemporal interaction immune and renal cells determines glomerular crescent formation autoimmune kidney disease,rapidly progressive glomerulonephritis rpgn the most aggressive group autoimmune kidney disease with the worst prognosis antineutrophil cytoplasmic antibody anca associated vasculitis antiglomerular basement membrane antigbm and lupus nephritis are the most common causes rpgn and are characterized the formation glomerular crescents and infiltration leukocytes that eventually lead glomerulosclerosis and kidney failure this work used highresolution spatial transcriptomics anca lupus nephritis antigbm and control patients understand how intercellular signaling between immune and renal tissue cells leads renal inflammation and glomerular injury using 3218210 immune and kidney cells observed that the biological pathways involved the sequence glomerular crescent formation are similar across the diseases while innate immune cells infiltrated the glomerular compartment relatively early later increases adaptive immune cells were largely restricted the periglomerular regions these changes immune cells temporally correlated with increases glomerular parietal epithelial pec and fibrotic mesangial cells suggesting diseaserelevant functional signaling between these immune and renal cells cell communication analysis revealed early disease pdgf signaling from epithelial and mesangial cells pecs causing their activation and proliferation later stages tgfβ signaling from macrophages cells epithelial cells and mesangial cells pecs triggered the expression extracellular matrix components resulting glomerulosclerosis our results highlight spatiotemporally conserved progression into glomerular crescents and sclerosis for anca lupus nephritis and antigbm disease which driven consecutive pdgf and tgfβ signaling pecs,2025/05/30,33762,"[IntegerElement(40393992, attributes={})]"
GSE294552,polysome profiling mrna translation neuroblastoma cells response asparaginealanine supplement,neuroblastoma the most common extracranial solid malignancy infants and young children originates from aberrant neural crest cells and accounts for 1015 childhood cancer deaths however the underlying mechanisms regulating neuroblastoma progression remain determined investigate the mechanisms regulating tumorigenesis and aggressiveness employed the illumina hiseq ten discovery platform analyze the polysome profiling mrna translation neuroblastoma cells response asparaginealanine asnala supplement the results showed that 618 and 566 translating mrnas were respectively elevated reduced sknbe2 after asnala treatment furthermore validated the polysome profiling results western blot with high identity overall our results provided fundamental information about the mrna translation changes response asnala treatment human neuroblastoma cells and these findings will help understand the pathogenesis neuroblastoma progression,2025/05/30,20795,"[IntegerElement(40416363, attributes={})]"
GSE294551,transcriptomic analysis neuroblastoma cells response earles balanced salt solution treatment,neuroblastoma the most common extracranial solid malignancy infants and young children originates from aberrant neural crest cells and accounts for 1015 childhood cancer deaths however the underlying mechanisms regulating neuroblastoma progression remain determined investigate the mechanisms regulating tumorigenesis and aggressiveness employed the illumina hiseq ten discovery platform analyze the transcriptome profiling changes human neuroblastoma shsy5y cells response treatment with earles balanced salt solution ebss free amino acids the results showed that 1118 and 1392 genes were respectively elevated reduced shsy5y cells after ebss treatment furthermore validated the rnaseq results realtime rtpcr with high identity overall our results provided fundamental information about the transcriptomic changes response ebss treatment human neuroblastoma cells and these findings will help understand the pathogenesis neuroblastoma progression,2025/05/30,20795,"[IntegerElement(40416363, attributes={})]"
GSE293178,silencing tet1 expression alters the epigenomic landscape and amplifies transcriptomic responses allergen airway epithelial cells,previous studies have demonstrated that tet1 plays protective role against house dust mite hdminduced allergic airway inflammation tet1 transcriptionally responded hdm extract and regulated the expression genes involved asthma human bronchial epithelial cells hbecs how tet1 regulates expression these genes however unknown this end measured mrna expression dna methylation chromatin accessibility and histone modifications control and tet1 knockdown hbecs treated untreated with hdm extract throughout our analyses multiomics data detected significant similarities between the effects tet1 knockdown alone and the effects hdm treatment alone all enriched for asthmarelated genes and pathways one especially striking pattern was that both tet1 knockdown and hdm treatment generally led decreased chromatin accessibility many the same genomic loci transcription factor enrichment analyses indicated that altered chromatin accessibility following the loss tet1 may affect affected ctcf and cebp binding analysis h3k27ac levels and comparison with existing datasets suggested potential impact tet1 enhancer activity tet1 loss also led changes dna methylation but these changes were generally regions where accessibility was not changing lastly more significant transcriptomic changes were observed hbec cells with tet1 knockdown compared control cells following hdm challenges collectively our data suggest that tet1 regulates gene expression through distinct mechanisms across various genomic regions airway epithelial cells restricting transcriptomic responses allergen and potentially protecting against the development asthma,2025/05/30,24676,"[IntegerElement(40401166, attributes={})]"
